predict-value,PSI-value
60.57400937948077,60
59.394688582156334,59
58.44391588009429,59
58.5338254655754,59
58.72480165740548,59
58.85766750076188,60
59.99720465941715,61
61.159070720721274,61
61.170826963828304,61
61.016585885844506,61
60.95926834975716,60
59.78546627293557,60
59.691254586967446,57
56.31927680116499,56
55.16172482433736,55
54.27104365749931,54
53.230897845877614,53
52.382621568447014,52
51.5611223412356,51
50.50310261962337,51
50.66371936198395,50
49.78483675289944,49
48.64304905455779,49
48.85156300066884,49
48.94377077868857,49
48.883318621741424,45
44.43173049850519,43
42.061038458238336,39
37.59309113242178,35
33.22683779647932,33
31.428891572505435,33
32.04612519121538,33
32.700458686818926,34
34.23386792203496,36
36.66806305824352,37
37.941468593232514,37
37.58065292868811,36
36.18126785758549,36
36.04499949841775,38
38.32559309899774,40
40.700001348635816,40
40.599327487668226,41
41.71165440823056,41
41.50139746839193,41
41.073315535376864,41
41.01014099105073,41
40.956005339178944,41
41.15174178557165,42
42.66336278195229,45
45.932626335667415,52
53.972044982392305,56
58.513005652426635,59
61.11923670046822,66
68.37042751510855,73
75.6948860634801,78
80.35205793652759,81
83.00410180754176,85
86.92429078786341,87
88.49663337418686,91
92.26307408588045,94
95.09549546674513,96
96.82704934750849,98
98.8644668231237,100
100.75871133815005,104
104.77543895066192,107
108.1467168514881,107
107.6502975490145,108
108.40049211921227,108
108.28481793684078,108
107.60692466877111,108
107.43143019933115,108
107.28060133401533,105
103.68033606278337,104
102.63421086938496,104
102.79972019514744,103
101.42385265269138,98
96.00694144197698,93
90.65933540851208,88
85.3099759805693,86
83.40313559054132,85
82.99757706462856,83
81.2852333899178,81
79.86276878090328,78
76.72954160615467,76
74.40775795200653,76
74.61840431264531,77
76.01746518209694,75
74.23027915674183,72
71.29499895382884,72
71.23271880112539,73
72.45985860654655,73
72.5771986527993,74
73.94544758678603,74
74.1871376873518,75
75.39748121633062,75
75.11023860348482,75
74.77094876788703,74
73.92959470588303,73
73.04293846135849,73
73.00899000124943,72
71.95496450213109,71
70.6335109225316,70
69.53240496989966,68
67.47468103679785,68
67.58105584320988,69
68.93636806414922,71
71.2429786545993,72
72.49473467977116,72
72.33529774992624,72
72.35662614377613,74
74.40043598930372,75
75.17374183988387,77
77.27413657575352,79
79.68032077924184,79
79.46868090553068,79
79.0938482746061,81
81.10936594760652,82
82.18230088791252,82
82.04895635692168,82
82.17654462963888,81
80.8536862285727,79
78.40952975826681,78
77.28153832021341,78
77.36720703993494,77
76.55698218601617,77
76.78172743509006,76
75.5608668960682,76
75.52161792296249,74
73.31121926125743,71
69.82254263751402,68
66.68747706198292,66
64.65040101455503,64
62.479989380803886,61
59.57096386093416,60
58.79499598158516,58
56.92150569795611,56
54.97286538335548,55
54.077529750858105,54
53.09743346426548,52
51.132820859240375,49
48.0976054551728,45
43.6657870360841,43
41.73233444227017,43
42.196745597164735,44
43.62517604314024,43
42.94290254642874,43
43.13058984380939,45
45.35866498442199,44
44.16043414299758,44
43.96616238989954,45
45.33184300548842,48
48.85484234590311,51
52.34108202927706,52
53.19942091740303,52
52.88745037427558,53
53.77103590728293,53
53.24525815295417,54
54.17774976273771,54
54.333452090593944,55
55.372827721320895,55
55.407065936352566,55
55.36817497434862,56
56.476276396568736,56
56.37808451018745,57
57.3449962557343,56
56.054607612218454,56
55.85279175383824,56
56.04375596307836,56
55.83750850503783,57
56.91621074490558,56
56.11605706520415,57
